"Brand_Reg","Count(Model_No)"
"AIWA",47
"AKAI",38
"AOA",5
"ARK",1
"Altius",6
"Avel Innovations",3
"BAUHN",73
"BELGIQUE",9
"BLAUPUNKT",104
"Blaupunkt",12
"Brooklyn",1
"CAIXUN",12
"CHiQ",48
"COOCAA",7
"Caixun",50
"DECAMAX",1
"DGTEC",12
"Dynalink",1
"EKO",191
"EMETE",55
"ENGLAON",33
"FFALCON",29
"FPD",3
"FURRION",4
"Gorilla",2
"HISENSE",326
"HYUNDAI",11
"Hubbl",1
"Hubbl Glass",2
"ILUMA",14
"JVC",136
"KOGAN",231
"KONIC",16
"KONKA",34
"Kodak",5
"Kogan",426
"LG",679
"LOEWE",29
"LSP TV",1
"Linsar",42
"METZ",6
"MYVI",5
"Monster",4
"PHILIPS",114
"PRISM+",8
"Palsonic",1
"Panasonic",86
"Philips",3
"Polaroid",13
"Q.Bell",2
"QBELL",11
"RCA",1
"S VISION",1
"SAMSUNG",243
"SAMSUNG ELECTRONICS",731
"SHARP",10
"SKYWORTH",16
"SMARTTECH",3
"SMTV",5
"SONIQ",1
"SONY",75
"SVISION",6
"SYLVOX",99
"Samsung",219
"ShareTV",1
"Sharp",1
"Shenzhen Xinchaoda Technology Co., Ltd",4
"Signify",1
"Smarttech",2
"Sony",17
"Spark Electronics",29
"Sphere",13
"Stan Cash",1
"Sylvox",33
"TAVICE",1
"TCL",96
"TEAC",13
"TECO",10
"TELEFUNKEN",17
"TENET",1
"THOMSON",2
"TOSHIBA",50
"VDT",1
"VEON",6
"Veon",18
"WALTON",24
"WINTAL",1
"Yokohama",1
"ZEN TV",4
"coocaa",9
"digitech",9
"kogan",112
"yokohama",2
